Borehole,As,B,Ba,Be,Cd,Co,Cr,Cu,Fe,Hg,Mn,Mo,Pb,Se,Zn
1,0.2,15.2,7.1,0.3,0.3,0.1,0.5,0.6,93,0.5,0.1,26,2.2,1.5,0.8
2,0.3,9.4,7.5,0.3,0.4,0.1,0.3,0.6,14,18.7,0.3,14,1.9,1.8,0.6
3,0.7,9.6,7.1,0.3,0.3,0.2,0.1,0.7,23,58.3,0.1,17,2.2,0.7,0.5
4,0.2,9.9,6.8,0.4,0.4,0.3,0.4,0.6,2.5,3.9,0.2,24,2.8,1.5,0.3
5,0.7,9.1,8.8,0.4,0.3,0.2,0.5,0.7,3.7,20,0.2,11,2.3,0.9,1.6
6,0.3,9.3,8.7,0.4,0.3,0.1,0.3,0.5,2,3.2,0.2,27,2.2,0.7,3.6
7,0.3,18.5,9.2,0.4,0.3,0.1,0.6,0.5,4,2.3,0.1,13,2.5,2.3,1.6
8,0.6,7,13.9,0.4,0.3,0.1,0.4,0.5,1.2,19.2,0.1,18,2.5,0.9,1.2
9,0.2,8.5,3.3,0.3,0.3,0.1,0.3,0.6,2.7,1.9,0.3,31,3,0.1,0.8
10,0.1,8.6,24.6,0.4,0.3,0.2,0.8,0.5,0.8,21.7,0.1,25,2.1,1.5,1.4
11,0.7,6.6,17.4,0.3,0.3,0.2,0.4,0.5,1.6,4.3,0.2,18,2.1,1.5,0.5
12,0.8,7,10.8,0.4,0.3,0.2,0.6,0.7,1.3,1,0.2,27,2.7,2.8,0.4
13,0.5,7,41.2,0.3,0.1,0.2,0.5,0.5,7.8,0.7,5.2,15,2.9,2.5,6.5
14,1.2,22.8,16.7,0.4,0.3,0.1,2.1,0.7,0.5,2.1,0.3,12,1.3,2.2,0.9
15,2.2,16.4,20.2,0.4,0.3,0.1,0.7,0.6,14.9,0.1,0.7,13,1.7,3,0.4
16,0.4,6.6,43.1,0.5,0.3,0.7,0.7,0.5,2,1.2,0.8,23,2.3,2.3,0.1
17,1,4.9,25.6,0.4,0.3,0.2,0.7,0.6,3.7,0.7,0.3,19,2.4,0.7,1.1
18,0.3,16.4,77.3,0.3,0.3,0.2,1.3,0.8,0.5,0.1,0.8,12,1.1,0.5,1.2
19,0.8,13.2,79.4,0.3,0.3,0.2,0.5,0.6,4.5,28.2,0.1,11,0.1,0.2,2
20,1.5,16.7,100.8,0.2,0.3,0.2,0.4,0.6,0.6,1.8,0.3,22,0.7,0.2,2.1
21,0.9,9.7,44.7,0.4,0.3,0.1,1,0.8,0.6,44.3,0.1,14,1.4,0.4,0.3
22,0.1,12.8,68.5,0.4,0.3,0.1,0.8,0.9,0.7,3.5,0.1,21,2,0.4,3.9
23,0.5,4.4,9.1,0.5,0.3,0.1,1.4,0.6,0.2,10.1,0.1,21,1.9,0.2,3.4
Mean,0.6,10.9,28.3,0.4,0.3,0.2,0.7,0.6,8.1,10.8,0.5,19,2.01,1.3,1.5
Max,2.2,22.8,101,0.5,0.4,0.7,2.1,0.9,93,58.3,5.2,31,3,3,6.5
Min,0.1,4.4,3.3,0.2,0.1,0.1,0.1,0.5,0.2,0.1,0.1,11,0.1,0.1,0.1
Median,12,0.6,9.8,8.1,0.4,0.3,0.1,0.95,0.6,46.6,5.3,0.1,23.5,0.8,4.55
SD,0.5,4.8,28.1,0.1,0.1,0.1,0.4,0.1,19.4,15.5,1.1,6,0.7,0.9,1.5
N,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
